Filename,TrueAngle,Est_MVDR,Est_SRP_PHAT,Est_W_SRP_PHAT,Est_GCCWLS,abs_err_mvdr,abs_err_srp,abs_err_wsrp,abs_err_gccwls
40d1m_054.wav,40,44,43,41.9501878440171,42.3788906564192,4,3,1.95018784401707,2.37889065641917
40d1m_055.wav,40,45,43,42.0810862380975,42.3445040936557,5,3,2.08108623809753,2.34450409365574
40d1m_056.wav,40,48,43,42.4207134106707,42.6403650389006,8,3,2.42071341067071,2.64036503890058
40d1m_057.wav,40,47,43,42.296889912673,42.6669651955185,7,3,2.29688991267301,2.66696519551847
40d1m_058.wav,40,42,43,41.9558323039606,42.3259833321555,2,3,1.9558323039606,2.3259833321555
40d1m_059.wav,40,49,43,42.0299192727213,42.3145384800823,9,3,2.02991927272131,2.31453848008235
40d1m_060.wav,40,48,43,42.0812367909501,42.3437472526028,8,3,2.08123679095011,2.34374725260284
40d1m_061.wav,40,45,44,42.6308571523845,42.9372037570472,5,4,2.63085715238451,2.93720375704721
40d1m_062.wav,40,44,43,41.8649127009273,42.0929713395514,4,3,1.86491270092729,2.09297133955144
40d1m_063.wav,40,46,43,42.2481327097004,42.4153612707097,6,3,2.24813270970042,2.41536127070972
40d1m_064.wav,40,47,43,42.4197527876931,42.7176212510495,7,3,2.41975278769306,2.71762125104947
40d1m_065.wav,40,46,43,42.6916859540692,43.0586121441203,6,3,2.69168595406921,3.05861214412026
40d1m_066.wav,40,46,43,42.4133319471973,42.6608483871148,6,3,2.41333194719731,2.6608483871148
40d1m_067.wav,40,47,43,42.2159432795661,42.4959041732478,7,3,2.21594327956611,2.49590417324783
40d1m_068.wav,40,44,43,41.9563775602958,42.3553639414398,4,3,1.95637756029581,2.35536394143981
40d1m_069.wav,40,45,43,41.9723442247829,42.3279234373577,5,3,1.97234422478294,2.32792343735765
40d1m_070.wav,40,44,43,42.9582900788019,43.3977560438371,4,3,2.95829007880189,3.39775604383706
40d1m_071.wav,40,47,44,43.2999428759073,43.6527207234801,7,4,3.29994287590735,3.65272072348012
40d1m_072.wav,40,44,44,42.5784693392216,43.0259408068541,4,4,2.5784693392216,3.02594080685411
40d1m_073.wav,40,49,43,42.456738216841,42.7399331983835,9,3,2.45673821684095,2.73993319838354
40d1m_074.wav,40,44,43,42.346319776606,42.6793162781572,4,3,2.34631977660603,2.6793162781572
40d1m_075.wav,40,45,43,42.5050048222638,42.7017861459114,5,3,2.50500482226382,2.70178614591143
40d1m_076.wav,40,44,43,41.8193288791882,42.2096939358118,4,3,1.81932887918823,2.20969393581184
40d1m_077.wav,40,44,43,43.7410627821174,44.4668462775682,4,3,3.74106278211741,4.46684627756821
40d1m_078.wav,40,47,43,42.268743130814,42.6610787032479,7,3,2.26874313081397,2.6610787032479
40d1m_079.wav,40,47,43,42.0242774609477,42.5127398216506,7,3,2.02427746094771,2.51273982165061
40d1m_080.wav,40,45,43,42.724208103659,43.0608305138335,5,3,2.72420810365901,3.06083051383349
40d1m_081.wav,40,47,43,42.909933873114,43.2960861673926,7,3,2.90993387311403,3.2960861673926
40d1m_082.wav,40,44,43,42.7310382089979,43.2156882338566,4,3,2.73103820899785,3.21568823385655
40d1m_083.wav,40,48,43,42.6676993355471,42.9570464954985,8,3,2.66769933554708,2.95704649549854
40d1m_084.wav,40,44,43,42.5557749018149,42.9839757432409,4,3,2.55577490181487,2.98397574324087
40d1m_085.wav,40,43,43,42.9997433284066,43.3459234625741,3,3,2.99974332840657,3.3459234625741
40d1m_086.wav,40,45,44,42.7034924959711,43.0094105725151,5,4,2.70349249597108,3.00941057251512
40d1m_087.wav,40,46,43,42.1838070187199,42.6044528278582,6,3,2.18380701871986,2.6044528278582
40d1m_088.wav,40,47,43,42.7824961143201,43.1512779502507,7,3,2.7824961143201,3.15127795025074
40d1m_089.wav,40,48,43,42.4461203057897,42.9158854683646,8,3,2.44612030578972,2.91588546836455
40d1m_090.wav,40,43,43,42.5456486695945,42.931194272705,3,3,2.54564866959455,2.93119427270496
40d1m_091.wav,40,46,44,42.7380856839329,42.9987487444542,6,4,2.73808568393292,2.9987487444542
40d1m_092.wav,40,47,43,42.4825340894888,42.853916489432,7,3,2.48253408948883,2.853916489432
40d1m_093.wav,40,43,43,42.8501550239722,43.2281356968614,3,3,2.85015502397216,3.22813569686136
40d1m_094.wav,40,50,43,42.2854581084969,42.5581992702173,10,3,2.28545810849694,2.55819927021732
40d1m_095.wav,40,47,43,41.6934342723025,42.1767999245457,7,3,1.6934342723025,2.17679992454573
40d1m_096.wav,40,44,43,42.2621097929003,42.7355269547355,4,3,2.26210979290031,2.73552695473553
40d1m_097.wav,40,47,43,42.1068073550486,42.5597439516451,7,3,2.10680735504859,2.55974395164514
40d1m_098.wav,40,51,43,42.5105960301189,42.934156323077,11,3,2.51059603011895,2.93415632307702
40d1m_099.wav,40,47,43,42.728877161041,42.9104392047368,7,3,2.72887716104097,2.91043920473678
40d1m_100.wav,40,47,43,42.4960775298882,42.7017662845251,7,3,2.49607752988824,2.70176628452507
40d1m_101.wav,40,49,43,41.9310550166958,42.3304184245574,9,3,1.93105501669583,2.33041842455738
40d1m_102.wav,40,44,44,41.8046968455206,42.5868313039826,4,4,1.80469684552057,2.58683130398258
40d1m_103.wav,40,45,43,42.2772577088757,42.7181701854831,5,3,2.27725770887567,2.71817018548315
40d1m_104.wav,40,49,43,42.2438121605553,42.7506109488744,9,3,2.24381216055528,2.75061094887441
40d1m_105.wav,40,48,43,42.2421823508574,42.4692472887712,8,3,2.24218235085741,2.46924728877125
40d1m_106.wav,40,47,43,42.0986785261398,42.6919149959339,7,3,2.09867852613981,2.69191499593394
40d1m_107.wav,40,47,43,42.3922085559066,42.7205503606882,7,3,2.39220855590656,2.72055036068823
40d1m_108.wav,40,46,42,42.191822545261,42.5071302136603,6,2,2.19182254526101,2.50713021366027
40d1m_109.wav,40,47,43,41.9545042932383,42.3179143813294,7,3,1.95450429323834,2.31791438132941
50d1m_001.wav,50,56,53,51.7646443103819,53.3896402006797,6,3,1.7646443103819,3.3896402006797
50d1m_002.wav,50,54,54,52.9519951694486,53.3984852040886,4,4,2.95199516944859,3.39848520408864
50d1m_003.wav,50,55,53,52.6863890526235,52.991049764717,5,3,2.68638905262348,2.99104976471695
50d1m_004.wav,50,57,53,52.2281240128019,52.6580394236178,7,3,2.22812401280186,2.65803942361777
50d1m_005.wav,50,55,53,52.8162008338227,53.0991572610569,5,3,2.81620083382273,3.09915726105687
50d1m_006.wav,50,56,53,52.4600226428201,52.7156606314982,6,3,2.46002264282013,2.71566063149822
50d1m_007.wav,50,54,53,52.9082670594142,53.1542233931935,4,3,2.9082670594142,3.15422339319353
50d1m_008.wav,50,57,53,52.9437581920634,53.2583431961031,7,3,2.94375819206345,3.25834319610307
50d1m_009.wav,50,57,53,52.8640526723258,53.2400548198456,7,3,2.8640526723258,3.24005481984562
50d1m_010.wav,50,56,53,52.5051188894532,53.0420667379469,6,3,2.50511888945318,3.04206673794688
50d1m_011.wav,50,56,54,52.0441776470901,53.3220270425026,6,4,2.04417764709006,3.32202704250264
50d1m_012.wav,50,55,54,53.3598563078351,53.835608894073,5,4,3.35985630783512,3.83560889407302
50d1m_013.wav,50,54,53,52.9792858172429,53.4418924790162,4,3,2.9792858172429,3.44189247901618
50d1m_014.wav,50,54,53,52.4907486178599,52.8400491026373,4,3,2.4907486178599,2.84004910263726
50d1m_015.wav,50,54,53,52.567156164808,52.8209687342824,4,3,2.56715616480799,2.82096873428241
50d1m_016.wav,50,55,52,53.0260292086972,53.3714436567659,5,2,3.02602920869717,3.37144365676594
50d1m_017.wav,50,55,52,52.82013732868,53.1795459882477,5,2,2.82013732867996,3.17954598824771
50d1m_018.wav,50,57,53,53.2388802700011,53.516182348038,7,3,3.23888027000105,3.51618234803803
50d1m_019.wav,50,54,54,53.0426159015031,53.8685441072662,4,4,3.04261590150309,3.8685441072662
50d1m_020.wav,50,57,54,52.7039320552702,53.246369176491,7,4,2.70393205527019,3.24636917649104
50d1m_021.wav,50,56,53,52.4258108273216,52.8364396261713,6,3,2.42581082732158,2.83643962617128
50d1m_022.wav,50,53,53,53.0642503279806,53.6549701251018,3,3,3.06425032798058,3.65497012510183
50d1m_023.wav,50,55,53,53.1531354549073,53.6945182954852,5,3,3.15313545490734,3.69451829548518
50d1m_024.wav,50,53,53,52.7304784546386,53.4719981585678,3,3,2.73047845463858,3.47199815856781
50d1m_025.wav,50,54,53,52.8127559665989,53.1483903816649,4,3,2.81275596659891,3.14839038166493
50d1m_026.wav,50,55,53,52.747876962871,53.0574185813913,5,3,2.74787696287104,3.0574185813913
50d1m_027.wav,50,54,53,52.8847040708688,53.3589279283848,4,3,2.8847040708688,3.35892792838478
50d1m_028.wav,50,54,54,52.7377591927543,53.2174528426229,4,4,2.73775919275432,3.21745284262292
50d1m_029.wav,50,54,53,52.5557602980136,52.9650776149221,4,3,2.55576029801365,2.9650776149221
50d1m_030.wav,50,57,54,52.0503914510744,53.8122781489558,7,4,2.05039145107436,3.81227814895576
50d1m_031.wav,50,56,54,53.3152702678132,53.7976545174357,6,4,3.31527026781319,3.79765451743569
50d1m_032.wav,50,53,53,52.8166969291107,53.6818161228835,3,3,2.81669692911072,3.68181612288352
50d1m_033.wav,50,55,53,52.9254840658641,53.1877966913124,5,3,2.92548406586406,3.18779669131238
50d1m_034.wav,50,53,53,52.9322914114024,53.3122785563789,3,3,2.93229141140238,3.31227855637893
