file,fs,duration_s,channels,channel_index,rms_dbfs,peak_dbfs,crest_db,zcr,snr_db,spectral_centroid_hz
100d1m_022.wav,16000,1,6,2,-39.0530196708357,-21.9662105046478,17.0868091661879,0.0628868088588819,17.6248936751514,7966.7816145936
100d1m_022.wav,16000,1,6,3,-39.1007736640221,-22.7337751928669,16.3669984711552,0.0652652038258913,18.0968733262294,7965.71421232114
100d1m_022.wav,16000,1,6,4,-38.6696487624825,-22.4691372540001,16.2005115084824,0.0665950590762621,18.2302529928856,7966.00367076272
100d1m_022.wav,16000,1,6,5,-78.1559284495824,-59.6794203583474,18.4765080912351,0.514858575008951,15.8838572030269,7766.04209675673
100d1m_022.wav,16000,1,6,6,-84.7580542133778,-72.2471989593476,12.5108552540302,0.517671730346274,8.30561301843393,7799.28589025163
100d1m_023.wav,16000,1,6,1,-40.0935703776592,-26.4298191388106,13.6637512388486,0.0401002506265664,11.0314730116569,7965.92580908535
100d1m_023.wav,16000,1,6,2,-40.1670292757531,-26.3523648326163,13.8146644431368,0.0391540074676487,11.0191245745306,7967.15515148485
100d1m_023.wav,16000,1,6,3,-40.2965878099942,-26.3358569601059,13.9607308498883,0.0412510869009258,11.0946603536105,7967.10223144144
100d1m_023.wav,16000,1,6,4,-39.8627887211239,-25.7000202716288,14.1627684494951,0.0415579765740883,11.2485292070974,7967.27018442495
100d1m_023.wav,16000,1,6,5,-88.7563976469544,-84.2883987858831,4.46799886107128,0.435016111707841,1.30884744807536,7740.66530844585
100d1m_023.wav,16000,1,6,6,-88.7541200777287,-84.2883987858831,4.46572129184558,0.443634596695821,1.29613055701741,7741.42082797686
100d1m_024.wav,16000,1,6,1,-39.9566058259855,-22.7665178522652,17.1900879737202,0.0643956830852642,24.4811237477151,7946.82149712194
100d1m_024.wav,16000,1,6,2,-39.7676305394468,-22.6722626992275,17.0953678402193,0.0634238657869163,24.9058257449532,7948.43070841456
